subject	subject_value	predicate	object	object_value
MONDO:0002387	liver angiosarcoma	skos:exactMatch	<https://icd.codes/icd10cm/C22.3>	
MONDO:0002387	liver angiosarcoma	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/C22.3>	Angiosarcoma of liver
MONDO:0002409	auditory system disorder	skos:exactMatch	<https://icd.codes/icd10cm/H60-H95>	
MONDO:0002409	auditory system disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H60-H95>	Diseases of the ear and mastoid process (H60-H95)
MONDO:0002410	pyeloureteritis cystica	skos:exactMatch	<https://icd.codes/icd10cm/N28.85>	
MONDO:0002410	pyeloureteritis cystica	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/N28.85>	Pyeloureteritis cystica
MONDO:0002411	narcissistic personality disorder	skos:exactMatch	<https://icd.codes/icd10cm/F60.81>	
MONDO:0002411	narcissistic personality disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F60.81>	Narcissistic personality disorder
MONDO:0002412	glycogen storage disease	skos:exactMatch	<https://icd.codes/icd10cm/E74.0>	
MONDO:0002412	glycogen storage disease	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/E74.0>	Glycogen storage disease
MONDO:0002413	glycogen storage disease I	skos:exactMatch	<https://icd.codes/icd10cm/E74.01>	
MONDO:0002413	glycogen storage disease I	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/E74.01>	von Gierke disease
MONDO:0002419	transient tic disorder	skos:exactMatch	<https://icd.codes/icd10cm/F95.0>	
MONDO:0002419	transient tic disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F95.0>	Transient tic disorder
MONDO:0002425	rectosigmoid junction cancer	skos:exactMatch	<https://icd.codes/icd10cm/C19>	
MONDO:0002425	rectosigmoid junction cancer	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/C19>	Malignant neoplasm of rectosigmoid junction
MONDO:0002428	protozoa infectious disease	skos:exactMatch	<https://icd.codes/icd10cm/B50-B64>	
MONDO:0002428	protozoa infectious disease	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/B50-B64>	Protozoal diseases (B50-B64)
MONDO:0002441	Jervell and Lange-Nielsen syndrome	skos:narrowMatch	<https://icd.codes/icd10cm/I45.8>	
MONDO:0002442	long QT syndrome	skos:exactMatch	<https://icd.codes/icd10cm/I45.81>	
MONDO:0002442	long QT syndrome	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/I45.81>	Long QT syndrome
MONDO:0002457	Treacher-Collins syndrome	skos:narrowMatch	<https://icd.codes/icd10cm/Q75.4>	
MONDO:0002467	inner ear disorder	skos:exactMatch	<https://icd.codes/icd10cm/H80-H83>	
MONDO:0002467	inner ear disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H80-H83>	Diseases of inner ear (H80-H83)
MONDO:0002473	cystic kidney disease	skos:exactMatch	<https://icd.codes/icd10cm/Q61>	
MONDO:0002473	cystic kidney disease	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/Q61>	Cystic kidney disease
MONDO:0002474	primary hyperoxaluria	skos:narrowMatch	<https://icd.codes/icd10cm/E74.8>	
MONDO:0002492	acute kidney failure	skos:exactMatch	<https://icd.codes/icd10cm/N17>	
MONDO:0002492	acute kidney failure	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/N17>	Acute kidney failure
MONDO:0002494	substance-related disorder	skos:exactMatch	<https://icd.codes/icd10cm/F10-F19>	
MONDO:0002494	substance-related disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F10-F19>	Mental and behavioral disorders due to psychoactive substance use (F10-F19)
MONDO:0002516	digestive system cancer	skos:exactMatch	<https://icd.codes/icd10cm/C15-C26>	
MONDO:0002516	digestive system cancer	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/C15-C26>	Malignant neoplasms of digestive organs (C15-C26)
MONDO:0002520	hepatic porphyria	skos:narrowMatch	<https://icd.codes/icd10cm/E80.2>	
MONDO:0002552	vascular myelopathy	skos:exactMatch	<https://icd.codes/icd10cm/G95.1>	
MONDO:0002552	vascular myelopathy	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/G95.1>	Vascular myelopathies
MONDO:0002571	primary central nervous system lymphoma	skos:narrowMatch	<https://icd.codes/icd10cm/C83.3>	
MONDO:0002588	thymoma type A	skos:narrowMatch	<https://icd.codes/icd10cm/C37>	
MONDO:0002594	monkeypox	skos:exactMatch	<https://icd.codes/icd10cm/B04>	
MONDO:0002594	monkeypox	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/B04>	Monkeypox
MONDO:0002613	histrionic personality disorder	skos:exactMatch	<https://icd.codes/icd10cm/F60.4>	
MONDO:0002613	histrionic personality disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F60.4>	Histrionic personality disorder
MONDO:0002629	bone osteosarcoma	skos:narrowMatch	<https://icd.codes/icd10cm/C41.9>	
MONDO:0002657	breast disorder	skos:exactMatch	<https://icd.codes/icd10cm/N60-N65>	
MONDO:0002657	breast disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/N60-N65>	Disorders of breast (N60-N65)
MONDO:0002660	blepharochalasis	skos:exactMatch	<https://icd.codes/icd10cm/H02.3>	
MONDO:0002660	blepharochalasis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H02.3>	Blepharochalasis
MONDO:0002684	atypical choroid plexus papilloma	skos:narrowMatch	<https://icd.codes/icd10cm/C71.5>	
MONDO:0002728	rhabdoid tumor	skos:narrowMatch	<https://icd.codes/icd10cm/C49.9>	
MONDO:0002735	anal canal adenocarcinoma	skos:narrowMatch	<https://icd.codes/icd10cm/C21.1>	
MONDO:0002752	ovarian adenocarcinoma	skos:narrowMatch	<https://icd.codes/icd10cm/C56>	
MONDO:0002754	extramedullary plasmacytoma	skos:exactMatch	<https://icd.codes/icd10cm/C90.2>	
MONDO:0002754	extramedullary plasmacytoma	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/C90.2>	Extramedullary plasmacytoma
MONDO:0002776	external ear disorder	skos:exactMatch	<https://icd.codes/icd10cm/H60-H62>	
MONDO:0002776	external ear disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H60-H62>	Diseases of external ear (H60-H62)
MONDO:0002800	thrombophlebitis	skos:exactMatch	<https://icd.codes/icd10cm/I80.0>	
MONDO:0002800	thrombophlebitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/I80.0>	Phlebitis and thrombophlebitis of superficial vessels of lower extremities
MONDO:0002875	parasitic ectoparasitic infectious disease	skos:exactMatch	<https://icd.codes/icd10cm/B85-B89>	
MONDO:0002875	parasitic ectoparasitic infectious disease	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/B85-B89>	Pediculosis, acariasis and other infestations (B85-B89)
MONDO:0002876	cervical adenosarcoma	skos:broadMatch	<https://icd.codes/icd10cm/C53.8>	
MONDO:0002876	cervical adenosarcoma	skos:broadMatch	<https://icd.codes/icd10cm/C53.1>	
MONDO:0002876	cervical adenosarcoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C53.8>	Malignant neoplasm of overlapping sites of cervix uteri
MONDO:0002876	cervical adenosarcoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C53.1>	Malignant neoplasm of exocervix
MONDO:0002877	cervical carcinosarcoma	skos:narrowMatch	<https://icd.codes/icd10cm/C53>	
MONDO:0002878	uterine corpus adenosarcoma	skos:narrowMatch	<https://icd.codes/icd10cm/C54.2>	
MONDO:0002885	erythrasma	skos:exactMatch	<https://icd.codes/icd10cm/L08.1>	
MONDO:0002885	erythrasma	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/L08.1>	Erythrasma
MONDO:0002898	skin cancer	skos:exactMatch	<https://icd.codes/icd10cm/C43-C44>	
MONDO:0002898	skin cancer	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/C43-C44>	Melanoma and other malignant neoplasms of skin (C43-C44)
MONDO:0002922	pyoderma	skos:exactMatch	<https://icd.codes/icd10cm/L08.0>	
MONDO:0002922	pyoderma	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/L08.0>	Pyoderma
MONDO:0002959	radiculopathy	skos:exactMatch	<https://icd.codes/icd10cm/M54.1>	
MONDO:0002959	radiculopathy	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/M54.1>	Radiculopathy
MONDO:0003009	hyperaldosteronism	skos:exactMatch	<https://icd.codes/icd10cm/E26>	
MONDO:0003009	hyperaldosteronism	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/E26>	Hyperaldosteronism
MONDO:0003010	multilocular clear cell renal cell carcinoma	skos:narrowMatch	<https://icd.codes/icd10cm/C64>	
MONDO:0003011	mucinous tubular and spindle renal cell carcinoma	skos:narrowMatch	<https://icd.codes/icd10cm/C64>	
MONDO:0003014	rhinitis	skos:exactMatch	<https://icd.codes/icd10cm/J30>	
MONDO:0003014	rhinitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/J30>	Vasomotor and allergic rhinitis
MONDO:0003019	potassium deficiency disease	skos:exactMatch	<https://icd.codes/icd10cm/E87.6>	
MONDO:0003019	potassium deficiency disease	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/E87.6>	Hypokalemia
MONDO:0003040	retrograde amnesia	skos:exactMatch	<https://icd.codes/icd10cm/R41.2>	
MONDO:0003040	retrograde amnesia	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/R41.2>	Retrograde amnesia
MONDO:0003085	keratitis	skos:exactMatch	<https://icd.codes/icd10cm/H16>	
MONDO:0003085	keratitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H16>	Keratitis
MONDO:0003122	striatonigral degeneration	skos:exactMatch	<https://icd.codes/icd10cm/G23.2>	
MONDO:0003122	striatonigral degeneration	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/G23.2>	Striatonigral degeneration
MONDO:0003125	testicular sex cord-stromal neoplasm	skos:narrowMatch	<https://icd.codes/icd10cm/C62.1>	
MONDO:0003150	male reproductive system disorder	skos:exactMatch	<https://icd.codes/icd10cm/N40-N53>	
MONDO:0003150	male reproductive system disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/N40-N53>	Diseases of male genital organs (N40-N53)
MONDO:0003150	male reproductive system disorder	skos:exactMatch	<http://apps.who.int/classifications/icd10/browse/2010/en#/N40-N51>	
MONDO:0003198	small intestine adenocarcinoma	skos:narrowMatch	<https://icd.codes/icd10cm/D01.4>	
MONDO:0003231	acute nonparalytic poliomyelitis	skos:exactMatch	<https://icd.codes/icd10cm/A80.4>	
MONDO:0003231	acute nonparalytic poliomyelitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/A80.4>	Acute nonparalytic poliomyelitis
MONDO:0003233	essential tremor	skos:exactMatch	<https://icd.codes/icd10cm/G25.0>	
MONDO:0003233	essential tremor	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/G25.0>	Essential tremor
MONDO:0003240	thyroid gland disorder	skos:exactMatch	<https://icd.codes/icd10cm/E00-E07>	
MONDO:0003240	thyroid gland disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/E00-E07>	Disorders of thyroid gland (E00-E07)
MONDO:0003266	ependymal tumor	skos:narrowMatch	<https://icd.codes/icd10cm/C71.7>	
MONDO:0003276	middle ear disorder	skos:exactMatch	<https://icd.codes/icd10cm/H65-H75>	
MONDO:0003276	middle ear disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H65-H75>	Diseases of middle ear and mastoid (H65-H75)
MONDO:0003315	endometrium carcinoma in situ	skos:exactMatch	<https://icd.codes/icd10cm/D07.0>	
MONDO:0003315	endometrium carcinoma in situ	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/D07.0>	Carcinoma in situ of endometrium
MONDO:0003345	hilar cholangiocarcinoma	skos:narrowMatch	<https://icd.codes/icd10cm/C24.0>	
MONDO:0003360	small intestine leiomyosarcoma	skos:broadMatch	<https://icd.codes/icd10cm/C17.8>	
MONDO:0003360	small intestine leiomyosarcoma	skos:broadMatch	<https://icd.codes/icd10cm/C17.3>	
MONDO:0003360	small intestine leiomyosarcoma	skos:broadMatch	<https://icd.codes/icd10cm/C17.2>	
MONDO:0003360	small intestine leiomyosarcoma	skos:broadMatch	<https://icd.codes/icd10cm/C17.1>	
MONDO:0003360	small intestine leiomyosarcoma	skos:broadMatch	<https://icd.codes/icd10cm/C17.0>	
MONDO:0003360	small intestine leiomyosarcoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C17.8>	Malignant neoplasm of overlapping sites of small intestine
MONDO:0003360	small intestine leiomyosarcoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C17.3>	Meckel's diverticulum, malignant
MONDO:0003360	small intestine leiomyosarcoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C17.2>	Malignant neoplasm of ileum
MONDO:0003360	small intestine leiomyosarcoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C17.1>	Malignant neoplasm of jejunum
MONDO:0003360	small intestine leiomyosarcoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C17.0>	Malignant neoplasm of duodenum
MONDO:0003382	eyelid disorder	skos:exactMatch	<https://icd.codes/icd10cm/H00>	
MONDO:0003382	eyelid disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H00>	Hordeolum and chalazion
MONDO:0003398	anterograde amnesia	skos:exactMatch	<https://icd.codes/icd10cm/R41.1>	
MONDO:0003398	anterograde amnesia	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/R41.1>	Anterograde amnesia
MONDO:0003406	sleep-wake disorder	skos:exactMatch	<https://icd.codes/icd10cm/G47>	
MONDO:0003406	sleep-wake disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/G47>	Sleep disorders
MONDO:0003417	internuclear ophthalmoplegia	skos:exactMatch	<https://icd.codes/icd10cm/H51.2>	
MONDO:0003417	internuclear ophthalmoplegia	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H51.2>	Internuclear ophthalmoplegia
MONDO:0003441	dystonic disorder	skos:exactMatch	<https://icd.codes/icd10cm/G24>	
MONDO:0003441	dystonic disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/G24>	Dystonia
MONDO:0003472	lice infestation	skos:exactMatch	<https://icd.codes/icd10cm/B85.2>	
MONDO:0003472	lice infestation	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/B85.2>	Pediculosis, unspecified
MONDO:0003522	male orgasm disorder	skos:exactMatch	<https://icd.codes/icd10cm/F52.32>	
MONDO:0003522	male orgasm disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F52.32>	Male orgasmic disorder
MONDO:0003529	acute pyelonephritis	skos:exactMatch	<https://icd.codes/icd10cm/N10>	
MONDO:0003529	acute pyelonephritis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/N10>	Acute pyelonephritis
MONDO:0003544	spinal cord cancer	skos:exactMatch	<https://icd.codes/icd10cm/C72.0>	
MONDO:0003544	spinal cord cancer	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/C72.0>	Malignant neoplasm of spinal cord
MONDO:0003568	disorder of optic chiasm	skos:exactMatch	<https://icd.codes/icd10cm/H47.4>	
MONDO:0003568	disorder of optic chiasm	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H47.4>	Disorders of optic chiasm
MONDO:0003571	obsolete labyrinthine dysfunction	skos:exactMatch	<https://icd.codes/icd10cm/H83.2>	
MONDO:0003571	obsolete labyrinthine dysfunction	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H83.2>	Labyrinthine dysfunction
MONDO:0003584	visual cortex disorder	skos:exactMatch	<https://icd.codes/icd10cm/H47.6>	
MONDO:0003584	visual cortex disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H47.6>	Disorders of visual cortex
MONDO:0003608	optic atrophy	skos:exactMatch	<https://icd.codes/icd10cm/H47.2>	
MONDO:0003608	optic atrophy	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H47.2>	Optic atrophy
MONDO:0003617	chronic salpingitis	skos:exactMatch	<https://icd.codes/icd10cm/N70.11>	
MONDO:0003617	chronic salpingitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/N70.11>	Chronic salpingitis
MONDO:0003634	proteinuria	skos:exactMatch	<https://icd.codes/icd10cm/R80>	
MONDO:0003634	proteinuria	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/R80>	Proteinuria
MONDO:0003656	hemoglobinuria	skos:exactMatch	<https://icd.codes/icd10cm/R82.3>	
MONDO:0003656	hemoglobinuria	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/R82.3>	Hemoglobinuria
MONDO:0003664	hemolytic anemia	skos:exactMatch	<https://icd.codes/icd10cm/D55-D59>	
MONDO:0003664	hemolytic anemia	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/D55-D59>	Hemolytic anemias (D55-D59)
MONDO:0003669	testicular seminoma	skos:narrowMatch	<https://icd.codes/icd10cm/C62.9>	
MONDO:0003709	agoraphobia	skos:exactMatch	<https://icd.codes/icd10cm/F40.0>	
MONDO:0003709	agoraphobia	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F40.0>	Agoraphobia
MONDO:0003754	Brown-Sequard syndrome	skos:exactMatch	<https://icd.codes/icd10cm/G83.81>	
MONDO:0003754	Brown-Sequard syndrome	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/G83.81>	Brown-S̩quard syndrome
MONDO:0003763	acute stress disorder	skos:exactMatch	<https://icd.codes/icd10cm/F43.0>	
MONDO:0003763	acute stress disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F43.0>	Acute stress reaction
MONDO:0003783	lymphopenia	skos:exactMatch	<https://icd.codes/icd10cm/D72.810>	
MONDO:0003783	lymphopenia	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/D72.810>	Lymphocytopenia
MONDO:0003792	ovarian carcinosarcoma	skos:narrowMatch	<https://icd.codes/icd10cm/C56>	
MONDO:0003795	ovarian small cell carcinoma	skos:narrowMatch	<https://icd.codes/icd10cm/C56>	
MONDO:0003939	muscle tissue disorder	skos:exactMatch	<https://icd.codes/icd10cm/M60-M63>	
MONDO:0003939	muscle tissue disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/M60-M63>	Disorders of muscles (M60-M63)
MONDO:0003940	Kummell disease	skos:exactMatch	<https://icd.codes/icd10cm/M48.3>	
MONDO:0003940	Kummell disease	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/M48.3>	Traumatic spondylopathy
MONDO:0004112	radiation cystitis	skos:exactMatch	<https://icd.codes/icd10cm/N30.4>	
MONDO:0004112	radiation cystitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/N30.4>	Irradiation cystitis
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<https://icd.codes/icd10cm/C67.9>	
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<https://icd.codes/icd10cm/C67.8>	
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<https://icd.codes/icd10cm/C67.7>	
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<https://icd.codes/icd10cm/C67.6>	
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<https://icd.codes/icd10cm/C67.5>	
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<https://icd.codes/icd10cm/C67.4>	
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<https://icd.codes/icd10cm/C67.3>	
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<https://icd.codes/icd10cm/C67.2>	
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<https://icd.codes/icd10cm/C67.1>	
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<https://icd.codes/icd10cm/C67.0>	
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C67.9>	Malignant neoplasm of bladder, unspecified
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C67.8>	Malignant neoplasm of overlapping sites of bladder
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C67.7>	Malignant neoplasm of urachus
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C67.6>	Malignant neoplasm of ureteric orifice
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C67.5>	Malignant neoplasm of bladder neck
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C67.4>	Malignant neoplasm of posterior wall of bladder
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C67.3>	Malignant neoplasm of anterior wall of bladder
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C67.2>	Malignant neoplasm of lateral wall of bladder
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C67.1>	Malignant neoplasm of dome of bladder
MONDO:0004114	urinary bladder small cell neuroendocrine carcinoma	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C67.0>	Malignant neoplasm of trigone of bladder
MONDO:0004132	anal canal squamous cell carcinoma	skos:narrowMatch	<https://icd.codes/icd10cm/C21.1>	
MONDO:0004187	nodular fasciitis	skos:exactMatch	<https://icd.codes/icd10cm/M72.4>	
MONDO:0004187	nodular fasciitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/M72.4>	Pseudosarcomatous fibromatosis
MONDO:0004192	urethra cancer	skos:exactMatch	<https://icd.codes/icd10cm/C68.0>	
MONDO:0004192	urethra cancer	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/C68.0>	Malignant neoplasm of urethra
MONDO:0004215	cutaneous anthrax	skos:exactMatch	<https://icd.codes/icd10cm/A22.0>	
MONDO:0004215	cutaneous anthrax	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/A22.0>	Cutaneous anthrax
MONDO:0004223	polyp of middle ear	skos:exactMatch	<https://icd.codes/icd10cm/H74.4>	
MONDO:0004223	polyp of middle ear	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H74.4>	Polyp of middle ear
MONDO:0004241	Osgood-Schlatter disease	skos:narrowMatch	<https://icd.codes/icd10cm/M93.2>	
MONDO:0004258	female orgasmic disorder	skos:exactMatch	<https://icd.codes/icd10cm/F52.31>	
MONDO:0004258	female orgasmic disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F52.31>	Female orgasmic disorder
MONDO:0004285	pancreatic intraductal papillary-mucinous carcinoma	skos:narrowMatch	<https://icd.codes/icd10cm/C25.3>	
MONDO:0004335	digestive system disorder	skos:exactMatch	<https://icd.codes/icd10cm/K00-K95>	
MONDO:0004335	digestive system disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/K00-K95>	Diseases of the digestive system (K00-K95)
MONDO:0004359	delusional disorder	skos:exactMatch	<http://apps.who.int/classifications/icd10/browse/2010/en#/F22.0>	
MONDO:0004473	epiglottis cancer	skos:exactMatch	<https://icd.codes/icd10cm/C10.1>	
MONDO:0004473	epiglottis cancer	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/C10.1>	Malignant neoplasm of anterior surface of epiglottis
MONDO:0004492	mediastinitis	skos:exactMatch	<https://icd.codes/icd10cm/J98.51>	
MONDO:0004492	mediastinitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/J98.51>	Mediastinitis
MONDO:0004496	myocarditis	skos:exactMatch	<https://icd.codes/icd10cm/I40>	
MONDO:0004496	myocarditis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/I40>	Acute myocarditis
MONDO:0004514	chronic rhinitis	skos:exactMatch	<https://icd.codes/icd10cm/J31.0>	
MONDO:0004514	chronic rhinitis	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/J31.0>	Chronic rhinitis
MONDO:0004525	scabies	skos:exactMatch	<https://icd.codes/icd10cm/B86>	
MONDO:0004525	scabies	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/B86>	Scabies
MONDO:0004542	cervical adenosquamous carcinoma, glassy cell variant	skos:broadMatch	<https://icd.codes/icd10cm/C53.8>	
MONDO:0004542	cervical adenosquamous carcinoma, glassy cell variant	skos:broadMatch	<https://icd.codes/icd10cm/C53.1>	
MONDO:0004542	cervical adenosquamous carcinoma, glassy cell variant	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C53.8>	Malignant neoplasm of overlapping sites of cervix uteri
MONDO:0004542	cervical adenosquamous carcinoma, glassy cell variant	skos:broadMatch	<http://purl.bioontology.org/ontology/ICD10CM/C53.1>	Malignant neoplasm of exocervix
MONDO:0004570	intestinal volvulus	skos:exactMatch	<https://icd.codes/icd10cm/K56.2>	
MONDO:0004570	intestinal volvulus	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/K56.2>	Volvulus
MONDO:0004572	cyclothymic disorder	skos:exactMatch	<https://icd.codes/icd10cm/F34.0>	
MONDO:0004572	cyclothymic disorder	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/F34.0>	Cyclothymic disorder
MONDO:0004577	corneal ulcer	skos:exactMatch	<https://icd.codes/icd10cm/H16.0>	
MONDO:0004577	corneal ulcer	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H16.0>	Corneal ulcer
MONDO:0004588	night blindness	skos:exactMatch	<https://icd.codes/icd10cm/H53.6>	
MONDO:0004588	night blindness	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/H53.6>	Night blindness
MONDO:0004592	impetigo	skos:exactMatch	<https://icd.codes/icd10cm/L01>	
MONDO:0004592	impetigo	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/L01>	Impetigo
MONDO:0004593	Bartholin duct cyst	skos:exactMatch	<https://icd.codes/icd10cm/N75.0>	
MONDO:0004593	Bartholin duct cyst	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/N75.0>	Cyst of Bartholin's gland
MONDO:0004596	cor pulmonale	skos:exactMatch	<https://icd.codes/icd10cm/I27.81>	
MONDO:0004596	cor pulmonale	skos:exactMatch	<http://purl.bioontology.org/ontology/ICD10CM/I27.81>	Cor pulmonale (chronic)
MONDO:0004607	vallecula cancer	skos:exactMatch	<https://icd.codes/icd10cm/C10.0>	
